"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,16223171,6025076,3846077,2178999
41,16272190,5809183,3945816,1863367
42,16379700,5861200,4016140,1845060
43,16702555,6117069,4126492,1990577
44,16958737,6313867,4287911,2025956
45,17868182,6760020,4655800,2104220
46,17983088,6795194,4748345,2046849
47,18159769,6853985,4872840,1981145
48,18300550,6963658,4981785,1981873
49,18377119,6997412,5092495,1904917
50,18659415,7239110,5189083,2050027
